problem_id,condition,group,num_tokens,tc_raw,tc_pca,tc_sae,s_raw,s_pca,s_sae
360,cot,G3,36,12,12,17,430.98779296875,457.49267578125,7750.921875
240,cot,G3,40,11,11,10,1693.80224609375,1932.498291015625,21453.208984375
339,cot,G3,53,46,46,46,989.3447265625,1136.54736328125,18793.81640625
377,cot,G3,36,11,11,29,774.677001953125,971.322998046875,8888.28515625
359,cot,G3,23,13,13,12,401.4912109375,438.628173828125,11782.38671875
349,cot,G3,27,15,15,15,1063.734375,1129.050048828125,9886.34765625
331,cot,G3,26,13,13,13,714.6123046875,784.2373046875,23674.154296875
362,cot,G3,37,24,24,23,375.738037109375,450.82470703125,12737.65234375
161,cot,G3,34,10,10,9,831.9931640625,1054.9130859375,11440.357421875
282,cot,G3,47,34,34,14,1684.235595703125,1906.05908203125,17551.962890625
163,cot,G3,45,32,32,31,1286.514404296875,1514.4736328125,19495.814453125
367,cot,G3,42,21,21,20,523.244384765625,709.822265625,25043.15625
354,cot,G3,53,31,31,32,1076.341796875,1227.30078125,11604.595703125
342,cot,G3,50,37,37,37,1152.125,1307.8837890625,13056.494140625
295,cot,G3,36,18,18,18,399.05126953125,490.28173828125,11049.71484375
369,cot,G3,37,11,11,25,1457.40234375,1609.3828125,13394.296875
233,cot,G3,36,11,11,24,738.52587890625,930.009033203125,25896.021484375
289,cot,G3,43,11,11,31,1234.466796875,1312.525390625,14454.8310546875
